Epoch,Avg_MSE_Loss,Avg_Nuclear_Loss,Avg_Cosine_Loss,Avg_Spectral_Loss,Avg_Spectral_SNR,Avg_Magnitude_Loss,Avg_Phase_Loss,Avg_Total_Loss,psnr_obs,psnr_clean,after_z1,after_z2,after_z3,after_z4,before_z1,before_z2,before_z3,before_z4
89,0.8297021239995956,0.09139695598019494,-1.9596516622437372,1.6594042513105605,1.4950135206734692,2.4946983136512615,0.824110261268086,1.6594042513105605,1.1992111667231828,1.1992111667231828,3,3,3,3,16,16,16,16
90,0.8312175400831081,0.09152178742267468,-1.9582114418347676,1.6624350912041135,1.5087261310330145,2.4997520159792015,0.8251181642214457,1.6624350912041135,1.1793243429727025,1.1793243429727025,3,3,3,3,16,16,16,16
91,0.832492513789071,0.09138818195572605,-1.9593463650456182,1.6649850375122495,1.5564428336090512,2.4998788679087602,0.8300911938702619,1.6649850375122495,1.0075793347700879,1.0075793347700879,3,2,3,3,16,16,16,16
92,0.8295486436949836,0.090612284011311,-1.9571090208159552,1.6590972973240747,1.537205966534438,2.4808670072643846,0.8373276044925054,1.6590972973240747,1.1807737269059375,1.1807737269059375,3,3,3,3,16,16,16,16
93,0.8333079483773973,0.09071782369304586,-1.959132640450089,1.6666159353874348,1.549605292302591,2.495109921252286,0.8381219335176326,1.6666159353874348,1.0626449135856495,1.0626449135856495,3,3,3,3,16,16,16,16
94,0.8376163956191804,0.09090368132348414,-1.9562455106664587,1.6752327978610992,1.5515498541019581,2.5225579186722085,0.8279077079561021,1.6752327978610992,1.0730047919959933,1.0730047919959933,3,3,3,3,16,16,16,16
95,0.8600231519451847,0.09102233582072788,-1.9488368762864008,1.7200463193434257,1.5465966429975297,2.5922309977036937,0.8478616200111531,1.7200463193434257,1.0311315058627062,1.0311315058627062,3,3,3,3,16,16,16,16
96,0.8469534549448225,0.09128331061866549,-1.9560162491268582,1.6939069032669067,1.5609691076808505,2.548307572250013,0.8395062624304382,1.6939069032669067,1.0064195895101875,1.0064195895101875,3,3,3,3,16,16,16,16
97,0.8430238095698533,0.0917598616193842,-1.9558692309591506,1.6860476125169683,1.5716665508570495,2.5364958765330137,0.8355993584350303,1.6860476125169683,1.0217179305521615,1.0217179305521615,3,3,3,3,16,16,16,16
98,0.8348310101363394,0.09104688051674101,-1.9570797637656883,1.6696620097866766,1.5426838839495625,2.5019787467188306,0.8373452761658916,1.6696620097866766,1.1322513519337885,1.1322513519337885,3,3,3,3,16,16,16,16
99,0.827360071517803,0.09082113013223365,-1.9547971729879026,1.65472016731898,1.6090888723179146,2.480439277710738,0.8290009929074181,1.65472016731898,1.0755029430061027,1.0755029430061027,3,3,3,3,16,16,16,16
100,0.8185380261253428,0.09024985286372679,-1.9584540437769007,1.6370760489393164,1.607244826025433,2.450535749947583,0.8236163893231639,1.6370760489393164,1.174503254264386,1.174503254264386,3,3,3,3,16,16,16,16
